Name,Style,Brewery,ABV,Min IBU,Max IBU,number_of_reviews
Baltic Porter,Porter - Baltic,Foothills Brewing Company,1.153846153846154,0.5,0.5,0.10344827586206896
Baltic Porter,Porter - Baltic,The Duck-Rabbit Craft Brewery,1.153846153846154,0.5,0.5,1.1954022988505748
Baltic Porter,Porter - Baltic,Uncommon Brewers,0.6923076923076923,0.5,0.5,-0.21455938697318008
Baltika #0 Non-Alcoholic,Low Alcohol Beer,Baltika Breweries,-2.115384615384616,-1.0,-0.75,-0.32950191570881227
Baltika #3 Classic,Lager - European Pale,Baltika Breweries,-0.4615384615384617,-0.2,-0.5,0.5134099616858238
Baltika #4 Original (Dark),Lager - European Dark,Baltika Breweries,-0.153846153846154,-0.5,0.25,0.5632183908045977
Baltika #5 Gold,Lager - European Pale,Baltika Breweries,-0.26923076923076933,-0.2,-0.5,-0.011494252873563218
Baltika #6 Porter,Porter - Baltic,Baltika Breweries,0.3846153846153847,0.5,0.5,1.7471264367816093
Baltika #7 Export,Lager - European / Dortmunder Export,Baltika Breweries,-0.23076923076923067,0.3,-0.3,0.19157088122605365
Baltika #8 Wheat,Wheat Beer - Hefeweizen,Baltika Breweries,-0.3846153846153847,-1.0,-1.0,0.4521072796934866
Baltika #9 Extra (Strong),Lager - European Strong,Baltika Breweries,0.7692307692307694,-0.5,0.25,0.9616858237547893
Bam Bière,Farmhouse Ale - Saison,Jolly Pumpkin Artisan Ales,-0.576923076923077,0.0,0.15,1.7432950191570882
Bam Noire,Farmhouse Ale - Saison,Jolly Pumpkin Artisan Ales,-0.653846153846154,0.0,0.15,0.685823754789272
Bamberg Rauchbier,Lager - Rauchbier,Micro Cervejaria Bamberg,-0.4615384615384617,0.0,-0.25,-0.3486590038314176
